region_name,province,avg_price,year
Revelstoke,BC,839000.0,2024
Boswell,BC,1150000.0,2024
West Kelowna,BC,149000.0,2024
Kelowna,BC,1298000.0,2024
Maple Ridge,BC,759900.0,2024
Calgary,AB,749800.0,2024
Camrose,AB,385000.0,2024
Airdrie,AB,499000.0,2024
Calgary,AB,739900.0,2024
Qualicum Beach,BC,549000.0,2024
Saskatoon,SK,499000.0,2024
Campbell River,BC,859000.0,2024
Castor,AB,230000.0,2024
Red Deer,AB,699900.0,2024
Lethbridge,AB,1379000.0,2024
Vancouver,BC,1798000.0,2024
Calgary,AB,1299999.0,2024
Okotoks,AB,289900.0,2024
Maple Ridge,BC,950000.0,2024
Medicine Hat,AB,535000.0,2024
Qualicum Beach,BC,1198500.0,2024
Calgary,AB,489000.0,2024
Calgary,AB,302888.0,2024
Red Deer,AB,890000.0,2024
Surrey,BC,619000.0,2024
Calgary,AB,409500.0,2024
Calgary,AB,539999.0,2024
Langley,BC,3798600.0,2024
Grande Prairie,AB,227000.0,2024
Fort Macleod,AB,375000.0,2024
Lethbridge,AB,529000.0,2024
Grande Prairie,AB,325000.0,2024
Nanaimo,BC,529900.0,2024
Calgary,AB,699900.0,2024
Whaletown,BC,1325000.0,2024
Rural Foothills County,AB,1290000.0,2024
Calgary,AB,255000.0,2024
Unity,SK,219900.0,2024
Calgary,AB,959000.0,2024
Rural Camrose County,AB,429000.0,2024
Blackfalds,AB,439900.0,2024
Fort McMurray,AB,629900.0,2024
Calgary,AB,369900.0,2024
Tumbler Ridge,BC,63735.0,2024
Burnaby,BC,629000.0,2024
Radium Hot Springs,BC,299900.0,2024
Enderby,BC,1195000.0,2024
Kelowna,BC,685000.0,2024
Kelowna,BC,1449900.0,2024
Kelowna,BC,878900.0,2024
Calgary,AB,348000.0,2024
Calgary,AB,249989.0,2024
Kelowna,BC,1399000.0,2024
Vancouver,BC,928000.0,2024
Quesnel,BC,379900.0,2024
Powell River,BC,1595000.0,2024
Vancouver,BC,918000.0,2024
Fort St. John,BC,159000.0,2024
Lake Country,BC,2189000.0,2024
Sicamous,BC,230000.0,2024
Sorrento,BC,250000.0,2024
Calgary,AB,599800.0,2024
Powell River,BC,509900.0,2024
Port McNeill,BC,649000.0,2024
Fort St. John,BC,469900.0,2024
Vanderhoof,BC,208500.0,2024
Prince George,BC,799800.0,2024
Summerland,BC,1999000.0,2024
Coldstream,BC,2399000.0,2024
West Kelowna,BC,624900.0,2024
Kelowna,BC,1199997.0,2024
Calgary,AB,589900.0,2024
Lake Country,BC,1450000.0,2024
Salmon Arm,BC,699900.0,2024
Lake Country,BC,997000.0,2024
Kamloops,BC,394000.0,2024
Wilkie,SK,162000.0,2024
Calgary,AB,1050000.0,2024
Prince George,BC,474900.0,2024
103 Mile House,BC,359000.0,2024
Quesnel,BC,649900.0,2024
Quesnel,BC,799900.0,2024
Vernon,BC,397500.0,2024
Kelowna,BC,724800.0,2024
Lake Country,BC,2149900.0,2024
Vernon,BC,484900.0,2024
Kelowna,BC,469900.0,2024
Kelowna,BC,614900.0,2024
Port Hardy,BC,489000.0,2024
Quesnel,BC,199900.0,2024
Prince George,BC,559000.0,2024
Saskatoon,SK,749900.0,2024
Cherryville,BC,749900.0,2024
Kamloops,BC,899900.0,2024
Kelowna,BC,945000.0,2024
Kelowna,BC,3150000.0,2024
Penticton,BC,499900.0,2024
Kelowna,BC,1700000.0,2024
West Kelowna,BC,679000.0,2024
Revelstoke,BC,1050000.0,2024
Prince George,BC,499900.0,2024
Prince George,BC,529900.0,2024
Quesnel,BC,329900.0,2024
Quesnel,BC,1449900.0,2024
Quesnel,BC,475000.0,2024
Quesnel,BC,459900.0,2024
Kelowna,BC,724900.0,2024
Canal Flats,BC,214900.0,2024
Kelowna,BC,349900.0,2024
