region_name,province,type,subtype
Revelstoke,BC,Condo,
Boswell,BC,Single Family,
West Kelowna,BC,Single Family,
Kelowna,BC,Single Family,
Maple Ridge,BC,Condo,
Calgary,AB,Single Family,
Camrose,AB,Single Family,
Airdrie,AB,Duplex,
Calgary,AB,Single Family,
Qualicum Beach,BC,Condo,
Saskatoon,SK,Single Family,
Campbell River,BC,Single Family,
Castor,AB,Single Family,
Red Deer,AB,Single Family,
Lethbridge,AB,Single Family,
Vancouver,BC,Condo,
Calgary,AB,Single Family,
Okotoks,AB,Condo,
Maple Ridge,BC,Single Family,
Medicine Hat,AB,Single Family,
Qualicum Beach,BC,Single Family,
Calgary,AB,Condo,
Calgary,AB,Condo,
Red Deer,AB,Single Family,
Surrey,BC,Condo,
Calgary,AB,Townhome,
Calgary,AB,Single Family,
Langley,BC,Single Family,
Grande Prairie,AB,Duplex,
Fort Macleod,AB,Single Family,
Lethbridge,AB,Single Family,
Grande Prairie,AB,Condo,
Nanaimo,BC,Condo,
Calgary,AB,Single Family,
Whaletown,BC,Single Family,
Rural Foothills County,AB,Single Family,
Calgary,AB,Condo,
Unity,SK,Single Family,
Calgary,AB,Single Family,
Rural Camrose County,AB,Single Family,
Blackfalds,AB,Single Family,
Fort McMurray,AB,Single Family,
Calgary,AB,Condo,
Tumbler Ridge,BC,Condo,
Burnaby,BC,Condo,
Radium Hot Springs,BC,Condo,
Enderby,BC,Single Family,
Kelowna,BC,Condo,
Kelowna,BC,Single Family,
Kelowna,BC,Single Family,
Calgary,AB,Condo,
Calgary,AB,Condo,
Kelowna,BC,Single Family,
Vancouver,BC,Condo,
Quesnel,BC,Single Family,
Powell River,BC,Single Family,
Vancouver,BC,Condo,
Fort St. John,BC,Condo/Townhome,
Lake Country,BC,Single Family,
Sicamous,BC,Single Family,
Sorrento,BC,Single Family,
Calgary,AB,Duplex,
Powell River,BC,Condo,
Port McNeill,BC,Single Family,
Fort St. John,BC,Single Family,
Vanderhoof,BC,Single Family,
Prince George,BC,Single Family,
Summerland,BC,Single Family,
Coldstream,BC,Single Family,
West Kelowna,BC,Single Family,
Kelowna,BC,Single Family,
Calgary,AB,Single Family,
Lake Country,BC,Single Family,
Salmon Arm,BC,Condo,
Lake Country,BC,Single Family,
Kamloops,BC,Single Family,
Wilkie,SK,Single Family,
Calgary,AB,Duplex,
Prince George,BC,Condo,
103 Mile House,BC,Single Family,
Quesnel,BC,Single Family,
Quesnel,BC,Single Family,
Vernon,BC,Condo,
Kelowna,BC,Condo,
Lake Country,BC,Single Family,
Vernon,BC,Single Family,
Kelowna,BC,Condo,
Kelowna,BC,Single Family,
Port Hardy,BC,Single Family,
Quesnel,BC,Single Family,
Prince George,BC,Single Family,
Saskatoon,SK,Single Family,
Cherryville,BC,Single Family,
Kamloops,BC,Single Family,
Kelowna,BC,Single Family,
Kelowna,BC,Single Family,
Penticton,BC,Condo,
Kelowna,BC,Single Family,
West Kelowna,BC,Single Family,
Revelstoke,BC,Single Family,
Prince George,BC,Single Family,
Prince George,BC,Condo,
Quesnel,BC,MultiFamily,
Quesnel,BC,Single Family,
Quesnel,BC,Single Family,
Quesnel,BC,Single Family,
Kelowna,BC,Condo/Townhome,
Canal Flats,BC,Single Family,
Kelowna,BC,Condo,
Kamloops,BC,Single Family,
Powell River,BC,Single Family,
Kamloops,BC,Condo,
Kamloops,BC,Condo,
Sun Peaks,BC,Single Family,
Coldstream,BC,Single Family,
Surrey,BC,Condo,
Kamloops,BC,Single Family,
Burns Lake,BC,Single Family,
Powell River,BC,Single Family,
Revelstoke,BC,Condo,
Nelson,BC,Single Family,
Penticton,BC,Single Family,
Daysland,AB,Single Family,
Kelowna,BC,Single Family,
Rural Cypress County,AB,Single Family,
West Kelowna,BC,Condo,
Savary Island,BC,Single Family,
Calgary,AB,Mobile Home,
Langley,BC,Single Family,
Canmore,AB,Condo,
