,region_name,year,avg_income,province
0,Newfoundland and Labrador,2020,71500,NL
1,Newfoundland and Labrador,2015,73000,NL
2,Newfoundland and Labrador,2020,71500,NL
3,Newfoundland and Labrador,2015,73000,NL
4,Newfoundland and Labrador,2020,71500,NL
5,Newfoundland and Labrador,2015,73000,NL
6,Corner Brook,2020,70000,NL
7,Corner Brook,2015,70000,NL
8,Corner Brook,2020,70000,NL
9,Corner Brook,2015,70000,NL
10,Corner Brook,2020,70000,NL
11,Corner Brook,2015,70000,NL
12,Gander,2020,78000,NL
13,Gander,2015,77000,NL
14,Gander,2020,78000,NL
15,Gander,2015,77000,NL
16,Gander,2020,78000,NL
17,Gander,2015,77000,NL
18,Grand Falls-Windsor,2020,66000,NL
19,Grand Falls-Windsor,2015,65500,NL
20,Grand Falls-Windsor,2020,66000,NL
21,Grand Falls-Windsor,2015,65500,NL
22,Grand Falls-Windsor,2020,66000,NL
23,Grand Falls-Windsor,2015,65500,NL
24,St. John's,2020,85000,NL
25,St. John's,2015,86000,NL
26,St. John's,2020,85000,NL
27,St. John's,2015,86000,NL
28,St. John's,2020,85000,NL
29,St. John's,2015,86000,NL
30,Prince Edward Island,2020,73500,PE
31,Prince Edward Island,2015,66000,PE
32,Prince Edward Island,2020,73500,PE
33,Prince Edward Island,2015,66000,PE
34,Prince Edward Island,2020,73500,PE
35,Prince Edward Island,2015,66000,PE
36,Charlottetown,2020,76500,PE
37,Charlottetown,2015,69000,PE
38,Charlottetown,2020,76500,PE
39,Charlottetown,2015,69000,PE
40,Charlottetown,2020,76500,PE
41,Charlottetown,2015,69000,PE
42,Summerside,2020,64500,PE
43,Summerside,2015,58000,PE
44,Summerside,2020,64500,PE
45,Summerside,2015,58000,PE
46,Summerside,2020,64500,PE
47,Summerside,2015,58000,PE
48,Nova Scotia,2020,71500,NS
49,Nova Scotia,2015,66000,NS
50,Nova Scotia,2020,71500,NS
51,Nova Scotia,2015,66000,NS
52,Nova Scotia,2020,71500,NS
53,Nova Scotia,2015,66000,NS
54,Cape Breton,2020,62000,NS
55,Cape Breton,2015,57200,NS
56,Cape Breton,2020,62000,NS
57,Cape Breton,2015,57200,NS
58,Cape Breton,2020,62000,NS
59,Cape Breton,2015,57200,NS
60,Halifax,2020,81000,NS
61,Halifax,2015,75500,NS
62,Halifax,2020,81000,NS
63,Halifax,2015,75500,NS
64,Halifax,2020,81000,NS
65,Halifax,2015,75500,NS
66,Kentville,2020,67000,NS
67,Kentville,2015,60400,NS
68,Kentville,2020,67000,NS
69,Kentville,2015,60400,NS
70,Kentville,2020,67000,NS
71,Kentville,2015,60400,NS
72,New Glasgow,2020,64000,NS
73,New Glasgow,2015,60400,NS
74,New Glasgow,2020,64000,NS
75,New Glasgow,2015,60400,NS
76,New Glasgow,2020,64000,NS
77,New Glasgow,2015,60400,NS
78,Truro,2020,66000,NS
79,Truro,2015,60000,NS
80,Truro,2020,66000,NS
81,Truro,2015,60000,NS
82,Truro,2020,66000,NS
83,Truro,2015,60000,NS
84,New Brunswick,2020,70000,NB
85,New Brunswick,2015,64000,NB
86,New Brunswick,2020,70000,NB
87,New Brunswick,2015,64000,NB
88,New Brunswick,2020,70000,NB
89,New Brunswick,2015,64000,NB
90,Bathurst,2020,62800,NB
91,Bathurst,2015,58000,NB
92,Bathurst,2020,62800,NB
93,Bathurst,2015,58000,NB
94,Bathurst,2020,62800,NB
95,Bathurst,2015,58000,NB
96,Campbellton,2020,54400,NB
97,Campbellton,2015,49200,NB
98,Campbellton,2020,54400,NB
99,Campbellton,2015,49200,NB
100,Campbellton,2020,54400,NB
101,Campbellton,2015,49200,NB
