year,region_name,avg_income,province
2000,Canada,7118340,
2000,Newfoundland and Labrador,131750,
2000,St. John's,39990,NL
2000,Prince Edward Island,31390,
2000,Nova Scotia,214300,
2000,Halifax,79400,NS
2000,New Brunswick,180280,
2000,Saint John,29040,NB
2000,Quebec,1714530,
2000,Saguenay,38600,QC
2000,Québec,161390,QC
2000,Sherbrooke,34640,QC
2000,Trois-Rivières,32450,QC
2000,Montréal,786850,QC
2000,Ottawa-Gatineau,59540,
2000,Ontario,2725440,
2000,Ottawa-Gatineau,189760,
2000,Oshawa,70130,ON
2000,Toronto,1097590,ON
2000,Hamilton,155750,ON
2000,St. Catharines-Niagara,92960,ON
2000,Kitchener-Cambridge-Waterloo,100250,ON
2000,London,95480,ON
2000,Windsor,70700,ON
2000,Greater Sudbury,37010,ON
2000,Thunder Bay,28080,ON
2000,Manitoba,257060,
2000,Winnipeg,152700,MB
2000,Saskatchewan,225110,
2000,Regina,43100,SK
2000,Saskatoon,50850,SK
2000,Alberta,700830,
2000,Calgary,225270,AB
2000,Edmonton,215850,AB
2000,British Columbia,919060,
2000,Vancouver,460800,BC
2000,Victoria,72450,BC
2000,Yukon,6150,
2000,Northwest Territories,7740,
2000,Nunavut,4700,
2001,Canada,7187680,
2001,Newfoundland and Labrador,130900,
2001,St. John's,40170,NL
2001,Prince Edward Island,31410,
2001,Nova Scotia,214220,
2001,Halifax,82930,NS
2001,New Brunswick,180160,
2001,Saint John,29000,NB
2001,Quebec,1725700,
2001,Saguenay,38250,QC
2001,Québec,164010,QC
2001,Sherbrooke,35510,QC
2001,Trois-Rivières,32570,QC
2001,Montréal,795240,QC
2001,Ottawa-Gatineau,60480,
2001,Ontario,2766660,
2001,Ottawa-Gatineau,189140,
2001,Kingston,34520,ON
2001,Oshawa,71430,ON
2001,Toronto,1129170,ON
2001,Hamilton,158480,ON
2001,St. Catharines-Niagara,92850,ON
2001,Kitchener-Cambridge-Waterloo,102150,ON
2001,London,101870,ON
2001,Windsor,72980,ON
2001,Greater Sudbury,37380,ON
2001,Thunder Bay,28490,ON
2001,Manitoba,257100,
2001,Winnipeg,153600,MB
2001,Saskatchewan,223340,
2001,Regina,42860,SK
2001,Saskatoon,50940,SK
2001,Alberta,711600,
2001,Calgary,230890,AB
2001,Edmonton,218320,AB
2001,British Columbia,927880,
2001,Abbotsford-Mission,35120,BC
2001,Vancouver,469990,BC
2001,Victoria,72710,BC
2001,Yukon,6070,
2001,Northwest Territories,7860,
2001,Nunavut,4770,
2002,Canada,7249010,
2002,Newfoundland and Labrador,130890,
2002,St. John's,40360,NL
2002,Prince Edward Island,31420,
2002,Nova Scotia,214450,
2002,Halifax,83410,NS
2002,New Brunswick,180160,
2002,Saint John,29000,NB
2002,Quebec,1728810,
2002,Saguenay,38040,QC
2002,Québec,163800,QC
2002,Sherbrooke,35640,QC
2002,Trois-Rivières,32310,QC
2002,Montréal,802050,QC
2002,Ottawa-Gatineau,60690,
2002,Ontario,2804720,
2002,Ottawa-Gatineau,191860,
2002,Kingston,34670,ON
2002,Oshawa,71390,ON
2002,Toronto,1162940,ON
2002,Hamilton,158940,ON
2002,St. Catharines-Niagara,92760,ON
2002,Kitchener-Cambridge-Waterloo,102980,ON
2002,London,102460,ON
2002,Windsor,73860,ON
2002,Greater Sudbury,37270,ON
2002,Thunder Bay,28530,ON
2002,Manitoba,257900,
2002,Winnipeg,154090,MB
2002,Saskatchewan,222900,
2002,Regina,42840,SK
2002,Saskatoon,51070,SK
2002,Alberta,719830,
2002,Calgary,235010,AB
2002,Edmonton,220610,AB
2002,British Columbia,938750,
2002,Abbotsford-Mission,35670,BC
2002,Vancouver,480070,BC
2002,Victoria,72690,BC
2002,Yukon,6180,
2002,Northwest Territories,8050,
2002,Nunavut,4960,
2003,Canada,7319570,
2003,Newfoundland and Labrador,130530,
2003,St. John's,41000,NL
2003,Prince Edward Island,31790,
2003,Nova Scotia,214540,
2003,Halifax,84140,NS
2003,New Brunswick,180150,
2003,Saint John,29030,NB
2003,Quebec,1754150,
2003,Saguenay,38140,QC
2003,Québec,167930,QC
2003,Sherbrooke,36420,QC
2003,Trois-Rivières,32780,QC
2003,Montréal,808870,QC
2003,Ottawa-Gatineau,62560,
2003,Ontario,2830190,
2003,Ottawa-Gatineau,191800,
2003,Kingston,35080,ON
2003,Oshawa,74600,ON
2003,Toronto,1169690,ON
2003,Hamilton,160390,ON
2003,St. Catharines-Niagara,93090,ON
2003,Kitchener-Cambridge-Waterloo,105170,ON
2003,London,103450,ON
2003,Windsor,74260,ON
2003,Greater Sudbury,37290,ON
2003,Thunder Bay,28530,ON
2003,Manitoba,258570,
2003,Winnipeg,154720,MB
2003,Saskatchewan,221980,
2003,Regina,42910,SK
2003,Saskatoon,51710,SK
2003,Alberta,730520,
2003,Calgary,238590,AB
2003,Edmonton,224370,AB
2003,British Columbia,947710,
2003,Abbotsford-Mission,36170,BC
2003,Vancouver,483010,BC
2003,Victoria,73450,BC
2003,Yukon,6260,
2003,Northwest Territories,8160,
2003,Nunavut,5020,
2004,Canada,7449160,
2004,Newfoundland and Labrador,130650,
2004,St. John's,41680,NL
2004,Prince Edward Island,31980,
2004,Nova Scotia,215640,
2004,Halifax,85060,NS
2004,New Brunswick,182020,
2004,Saint John,29230,NB
2004,Quebec,1778740,
2004,Saguenay,38280,QC
2004,Québec,170230,QC
2004,Sherbrooke,37040,QC
2004,Trois-Rivières,33250,QC
2004,Montréal,819930,QC
2004,Ottawa-Gatineau,64250,
2004,Ontario,2883680,
2004,Ottawa-Gatineau,195000,
2004,Kingston,35500,ON
2004,Oshawa,76990,ON
2004,Toronto,1198880,ON
2004,Hamilton,161870,ON
2004,St. Catharines-Niagara,94190,ON
2004,Kitchener-Cambridge-Waterloo,107660,ON
2004,London,105290,ON
2004,Windsor,74900,ON
2004,Greater Sudbury,38230,ON
2004,Thunder Bay,28590,ON
2004,Manitoba,260270,
2004,Winnipeg,156110,MB
2004,Saskatchewan,221900,
2004,Regina,43280,SK
2004,Saskatoon,52220,SK
2004,Alberta,755880,
2004,Calgary,248720,AB
2004,Edmonton,232090,AB
2004,British Columbia,968810,
2004,Abbotsford-Mission,36840,BC
2004,Vancouver,495180,BC
2004,Victoria,74990,BC
2004,Yukon,6320,
2004,Northwest Territories,8200,
2004,Nunavut,5060,
2005,Canada,7486160,
2005,Newfoundland and Labrador,129540,
2005,St. John's,41750,NL
2005,Prince Edward Island,32070,
2005,Nova Scotia,214870,
2005,Halifax,85190,NS
2005,New Brunswick,181730,
2005,Saint John,29120,NB
2005,Quebec,1784680,
2005,Saguenay,38150,QC
2005,Québec,171050,QC
2005,Sherbrooke,37220,QC
2005,Trois-Rivières,33550,QC
2005,Montréal,821360,QC
2005,Ottawa-Gatineau,64610,
2005,Ontario,2891660,
2005,Ottawa-Gatineau,195640,
2005,Kingston,35570,ON
2005,Oshawa,77810,ON
2005,Toronto,1204870,ON
2005,Hamilton,161640,ON
2005,St. Catharines-Niagara,93590,ON
2005,Kitchener-Cambridge-Waterloo,108320,ON
2005,London,105380,ON
2005,Windsor,74200,ON
2005,Greater Sudbury,38270,ON
2005,Thunder Bay,28260,ON
2005,Manitoba,260530,
2005,Winnipeg,156150,MB
2005,Saskatchewan,221170,
