"REF_DATE","GEO","DGUID","Household type including census family structure (11)","Household size (7)","Number of earners in household (6)","Ages of household members (18)","Household total income groups (22)","Year (2)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Newfoundland and Labrador","2021A000210","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 0 to 5 years","Total - Total income of households","2020","","0","units","0","","2.1.1.1.1.1.1","223255","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 0 to 5 years","Total - Total income of households","2015","","0","units","0","","2.1.1.1.1.1.2","218670","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 0 to 5 years","Median total income of household ($)","2020","","0","units","0","","2.1.1.1.1.22.1","71500","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 0 to 5 years","Median total income of household ($)","2015","","0","units","0","","2.1.1.1.1.22.2","73000","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 0 to 17 years","Total - Total income of households","2020","","0","units","0","","2.1.1.1.7.1.1","223255","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 0 to 17 years","Total - Total income of households","2015","","0","units","0","","2.1.1.1.7.1.2","218670","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 0 to 17 years","Median total income of household ($)","2020","","0","units","0","","2.1.1.1.7.22.1","71500","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 0 to 17 years","Median total income of household ($)","2015","","0","units","0","","2.1.1.1.7.22.2","73000","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 65 years and over","Total - Total income of households","2020","","0","units","0","","2.1.1.1.13.1.1","223255","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 65 years and over","Total - Total income of households","2015","","0","units","0","","2.1.1.1.13.1.2","218670","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 65 years and over","Median total income of household ($)","2020","","0","units","0","","2.1.1.1.13.22.1","71500","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 65 years and over","Median total income of household ($)","2015","","0","units","0","","2.1.1.1.13.22.2","73000","","","","0"
"2021","Corner Brook (CA), N.L.","2021S0504015","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 0 to 5 years","Total - Total income of households","2020","","0","units","0","","3.1.1.1.1.1.1","13245","","","","0"
"2021","Corner Brook (CA), N.L.","2021S0504015","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 0 to 5 years","Total - Total income of households","2015","","0","units","0","","3.1.1.1.1.1.2","13240","","","","0"
"2021","Corner Brook (CA), N.L.","2021S0504015","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 0 to 5 years","Median total income of household ($)","2020","","0","units","0","","3.1.1.1.1.22.1","70000","","","","0"
"2021","Corner Brook (CA), N.L.","2021S0504015","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 0 to 5 years","Median total income of household ($)","2015","","0","units","0","","3.1.1.1.1.22.2","70000","","","","0"
"2021","Corner Brook (CA), N.L.","2021S0504015","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 0 to 17 years","Total - Total income of households","2020","","0","units","0","","3.1.1.1.7.1.1","13245","","","","0"
"2021","Corner Brook (CA), N.L.","2021S0504015","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 0 to 17 years","Total - Total income of households","2015","","0","units","0","","3.1.1.1.7.1.2","13240","","","","0"
"2021","Corner Brook (CA), N.L.","2021S0504015","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 0 to 17 years","Median total income of household ($)","2020","","0","units","0","","3.1.1.1.7.22.1","70000","","","","0"
"2021","Corner Brook (CA), N.L.","2021S0504015","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 0 to 17 years","Median total income of household ($)","2015","","0","units","0","","3.1.1.1.7.22.2","70000","","","","0"
"2021","Corner Brook (CA), N.L.","2021S0504015","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 65 years and over","Total - Total income of households","2020","","0","units","0","","3.1.1.1.13.1.1","13245","","","","0"
"2021","Corner Brook (CA), N.L.","2021S0504015","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 65 years and over","Total - Total income of households","2015","","0","units","0","","3.1.1.1.13.1.2","13240","","","","0"
"2021","Corner Brook (CA), N.L.","2021S0504015","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 65 years and over","Median total income of household ($)","2020","","0","units","0","","3.1.1.1.13.22.1","70000","","","","0"
"2021","Corner Brook (CA), N.L.","2021S0504015","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 65 years and over","Median total income of household ($)","2015","","0","units","0","","3.1.1.1.13.22.2","70000","","","","0"
"2021","Gander (CA), N.L.","2021S0504011","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 0 to 5 years","Total - Total income of households","2020","","0","units","0","","4.1.1.1.1.1.1","5745","","","","0"
"2021","Gander (CA), N.L.","2021S0504011","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 0 to 5 years","Total - Total income of households","2015","","0","units","0","","4.1.1.1.1.1.2","5545","","","","0"
"2021","Gander (CA), N.L.","2021S0504011","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 0 to 5 years","Median total income of household ($)","2020","","0","units","0","","4.1.1.1.1.22.1","78000","","","","0"
"2021","Gander (CA), N.L.","2021S0504011","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 0 to 5 years","Median total income of household ($)","2015","","0","units","0","","4.1.1.1.1.22.2","77000","","","","0"
"2021","Gander (CA), N.L.","2021S0504011","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 0 to 17 years","Total - Total income of households","2020","","0","units","0","","4.1.1.1.7.1.1","5745","","","","0"
"2021","Gander (CA), N.L.","2021S0504011","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 0 to 17 years","Total - Total income of households","2015","","0","units","0","","4.1.1.1.7.1.2","5545","","","","0"
"2021","Gander (CA), N.L.","2021S0504011","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 0 to 17 years","Median total income of household ($)","2020","","0","units","0","","4.1.1.1.7.22.1","78000","","","","0"
"2021","Gander (CA), N.L.","2021S0504011","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 0 to 17 years","Median total income of household ($)","2015","","0","units","0","","4.1.1.1.7.22.2","77000","","","","0"
"2021","Gander (CA), N.L.","2021S0504011","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 65 years and over","Total - Total income of households","2020","","0","units","0","","4.1.1.1.13.1.1","5745","","","","0"
"2021","Gander (CA), N.L.","2021S0504011","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 65 years and over","Total - Total income of households","2015","","0","units","0","","4.1.1.1.13.1.2","5545","","","","0"
"2021","Gander (CA), N.L.","2021S0504011","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 65 years and over","Median total income of household ($)","2020","","0","units","0","","4.1.1.1.13.22.1","78000","","","","0"
"2021","Gander (CA), N.L.","2021S0504011","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 65 years and over","Median total income of household ($)","2015","","0","units","0","","4.1.1.1.13.22.2","77000","","","","0"
"2021","Grand Falls-Windsor (CA), N.L.","2021S0504010","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 0 to 5 years","Total - Total income of households","2020","","0","units","0","","5.1.1.1.1.1.1","6125","","","","0"
"2021","Grand Falls-Windsor (CA), N.L.","2021S0504010","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 0 to 5 years","Total - Total income of households","2015","","0","units","0","","5.1.1.1.1.1.2","6090","","","","0"
"2021","Grand Falls-Windsor (CA), N.L.","2021S0504010","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 0 to 5 years","Median total income of household ($)","2020","","0","units","0","","5.1.1.1.1.22.1","66000","","","","0"
"2021","Grand Falls-Windsor (CA), N.L.","2021S0504010","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 0 to 5 years","Median total income of household ($)","2015","","0","units","0","","5.1.1.1.1.22.2","65500","","","","0"
"2021","Grand Falls-Windsor (CA), N.L.","2021S0504010","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 0 to 17 years","Total - Total income of households","2020","","0","units","0","","5.1.1.1.7.1.1","6125","","","","0"
"2021","Grand Falls-Windsor (CA), N.L.","2021S0504010","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 0 to 17 years","Total - Total income of households","2015","","0","units","0","","5.1.1.1.7.1.2","6090","","","","0"
"2021","Grand Falls-Windsor (CA), N.L.","2021S0504010","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 0 to 17 years","Median total income of household ($)","2020","","0","units","0","","5.1.1.1.7.22.1","66000","","","","0"
