,region_name,year,avg_income,province
2,Newfoundland and Labrador,2020,71500,NL
3,Newfoundland and Labrador,2015,73000,NL
6,Newfoundland and Labrador,2020,71500,NL
7,Newfoundland and Labrador,2015,73000,NL
10,Newfoundland and Labrador,2020,71500,NL
11,Newfoundland and Labrador,2015,73000,NL
14,"Corner Brook (CA), N.L.",2020,70000,
15,"Corner Brook (CA), N.L.",2015,70000,
18,"Corner Brook (CA), N.L.",2020,70000,
19,"Corner Brook (CA), N.L.",2015,70000,
22,"Corner Brook (CA), N.L.",2020,70000,
23,"Corner Brook (CA), N.L.",2015,70000,
26,"Gander (CA), N.L.",2020,78000,
27,"Gander (CA), N.L.",2015,77000,
30,"Gander (CA), N.L.",2020,78000,
31,"Gander (CA), N.L.",2015,77000,
34,"Gander (CA), N.L.",2020,78000,
35,"Gander (CA), N.L.",2015,77000,
38,"Grand Falls-Windsor (CA), N.L.",2020,66000,
39,"Grand Falls-Windsor (CA), N.L.",2015,65500,
42,"Grand Falls-Windsor (CA), N.L.",2020,66000,
43,"Grand Falls-Windsor (CA), N.L.",2015,65500,
46,"Grand Falls-Windsor (CA), N.L.",2020,66000,
47,"Grand Falls-Windsor (CA), N.L.",2015,65500,
50,"St. John's (CMA), N.L.",2020,85000,
51,"St. John's (CMA), N.L.",2015,86000,
54,"St. John's (CMA), N.L.",2020,85000,
55,"St. John's (CMA), N.L.",2015,86000,
58,"St. John's (CMA), N.L.",2020,85000,
59,"St. John's (CMA), N.L.",2015,86000,
62,Prince Edward Island,2020,73500,PE
63,Prince Edward Island,2015,66000,PE
66,Prince Edward Island,2020,73500,PE
67,Prince Edward Island,2015,66000,PE
70,Prince Edward Island,2020,73500,PE
71,Prince Edward Island,2015,66000,PE
74,"Charlottetown (CA), P.E.I.",2020,76500,
75,"Charlottetown (CA), P.E.I.",2015,69000,
78,"Charlottetown (CA), P.E.I.",2020,76500,
79,"Charlottetown (CA), P.E.I.",2015,69000,
82,"Charlottetown (CA), P.E.I.",2020,76500,
83,"Charlottetown (CA), P.E.I.",2015,69000,
86,"Summerside (CA), P.E.I.",2020,64500,
87,"Summerside (CA), P.E.I.",2015,58000,
90,"Summerside (CA), P.E.I.",2020,64500,
91,"Summerside (CA), P.E.I.",2015,58000,
94,"Summerside (CA), P.E.I.",2020,64500,
95,"Summerside (CA), P.E.I.",2015,58000,
98,Nova Scotia,2020,71500,NS
99,Nova Scotia,2015,66000,NS
102,Nova Scotia,2020,71500,NS
103,Nova Scotia,2015,66000,NS
106,Nova Scotia,2020,71500,NS
107,Nova Scotia,2015,66000,NS
110,"Cape Breton (CA), N.S.",2020,62000,
111,"Cape Breton (CA), N.S.",2015,57200,
114,"Cape Breton (CA), N.S.",2020,62000,
115,"Cape Breton (CA), N.S.",2015,57200,
118,"Cape Breton (CA), N.S.",2020,62000,
119,"Cape Breton (CA), N.S.",2015,57200,
122,"Halifax (CMA), N.S.",2020,81000,
123,"Halifax (CMA), N.S.",2015,75500,
126,"Halifax (CMA), N.S.",2020,81000,
127,"Halifax (CMA), N.S.",2015,75500,
130,"Halifax (CMA), N.S.",2020,81000,
131,"Halifax (CMA), N.S.",2015,75500,
134,"Kentville (CA), N.S.",2020,67000,
135,"Kentville (CA), N.S.",2015,60400,
138,"Kentville (CA), N.S.",2020,67000,
139,"Kentville (CA), N.S.",2015,60400,
142,"Kentville (CA), N.S.",2020,67000,
143,"Kentville (CA), N.S.",2015,60400,
146,"New Glasgow (CA), N.S.",2020,64000,
147,"New Glasgow (CA), N.S.",2015,60400,
150,"New Glasgow (CA), N.S.",2020,64000,
151,"New Glasgow (CA), N.S.",2015,60400,
154,"New Glasgow (CA), N.S.",2020,64000,
155,"New Glasgow (CA), N.S.",2015,60400,
158,"Truro (CA), N.S.",2020,66000,
159,"Truro (CA), N.S.",2015,60000,
162,"Truro (CA), N.S.",2020,66000,
163,"Truro (CA), N.S.",2015,60000,
166,"Truro (CA), N.S.",2020,66000,
167,"Truro (CA), N.S.",2015,60000,
170,New Brunswick,2020,70000,NB
171,New Brunswick,2015,64000,NB
174,New Brunswick,2020,70000,NB
175,New Brunswick,2015,64000,NB
178,New Brunswick,2020,70000,NB
179,New Brunswick,2015,64000,NB
182,"Bathurst (CA), N.B.",2020,62800,
183,"Bathurst (CA), N.B.",2015,58000,
186,"Bathurst (CA), N.B.",2020,62800,
187,"Bathurst (CA), N.B.",2015,58000,
190,"Bathurst (CA), N.B.",2020,62800,
191,"Bathurst (CA), N.B.",2015,58000,
194,"Campbellton (CA), N.B./Que.",2020,54400,
195,"Campbellton (CA), N.B./Que.",2015,49200,
198,"Campbellton (CA), N.B./Que.",2020,54400,
199,"Campbellton (CA), N.B./Que.",2015,49200,
202,"Campbellton (CA), N.B./Que.",2020,54400,
203,"Campbellton (CA), N.B./Que.",2015,49200,
206,"Edmundston (CA), N.B.",2020,60800,
207,"Edmundston (CA), N.B.",2015,56800,
210,"Edmundston (CA), N.B.",2020,60800,
211,"Edmundston (CA), N.B.",2015,56800,
214,"Edmundston (CA), N.B.",2020,60800,
215,"Edmundston (CA), N.B.",2015,56800,
218,"Fredericton (CMA), N.B.",2020,79000,
219,"Fredericton (CMA), N.B.",2015,72500,
222,"Fredericton (CMA), N.B.",2020,79000,
223,"Fredericton (CMA), N.B.",2015,72500,
226,"Fredericton (CMA), N.B.",2020,79000,
227,"Fredericton (CMA), N.B.",2015,72500,
230,"Miramichi (CA), N.B.",2020,66500,
231,"Miramichi (CA), N.B.",2015,62800,
234,"Miramichi (CA), N.B.",2020,66500,
235,"Miramichi (CA), N.B.",2015,62800,
238,"Miramichi (CA), N.B.",2020,66500,
239,"Miramichi (CA), N.B.",2015,62800,
242,"Moncton (CMA), N.B.",2020,74500,
243,"Moncton (CMA), N.B.",2015,68000,
246,"Moncton (CMA), N.B.",2020,74500,
247,"Moncton (CMA), N.B.",2015,68000,
250,"Moncton (CMA), N.B.",2020,74500,
251,"Moncton (CMA), N.B.",2015,68000,
254,"Saint John (CMA), N.B.",2020,74000,
255,"Saint John (CMA), N.B.",2015,69000,
258,"Saint John (CMA), N.B.",2020,74000,
259,"Saint John (CMA), N.B.",2015,69000,
262,"Saint John (CMA), N.B.",2020,74000,
263,"Saint John (CMA), N.B.",2015,69000,
266,Quebec,2020,72500,QC
267,Quebec,2015,64500,QC
270,Quebec,2020,72500,QC
271,Quebec,2015,64500,QC
274,Quebec,2020,72500,QC
275,Quebec,2015,64500,QC
278,"Alma (CA), Que.",2020,67500,
279,"Alma (CA), Que.",2015,61200,
282,"Alma (CA), Que.",2020,67500,
283,"Alma (CA), Que.",2015,61200,
286,"Alma (CA), Que.",2020,67500,
287,"Alma (CA), Que.",2015,61200,
290,"Amos (CA), Que.",2020,76500,
291,"Amos (CA), Que.",2015,70000,
294,"Amos (CA), Que.",2020,76500,
295,"Amos (CA), Que.",2015,70000,
298,"Amos (CA), Que.",2020,76500,
299,"Amos (CA), Que.",2015,70000,
302,"Baie-Comeau (CA), Que.",2020,75000,
303,"Baie-Comeau (CA), Que.",2015,72500,
306,"Baie-Comeau (CA), Que.",2020,75000,
307,"Baie-Comeau (CA), Que.",2015,72500,
310,"Baie-Comeau (CA), Que.",2020,75000,
311,"Baie-Comeau (CA), Que.",2015,72500,
314,"Cowansville (CA), Que.",2020,58800,
315,"Cowansville (CA), Que.",2015,53600,
318,"Cowansville (CA), Que.",2020,58800,
319,"Cowansville (CA), Que.",2015,53600,
322,"Cowansville (CA), Que.",2020,58800,
323,"Cowansville (CA), Que.",2015,53600,
326,"Dolbeau-Mistassini (CA), Que.",2020,63600,
327,"Dolbeau-Mistassini (CA), Que.",2015,58000,
330,"Dolbeau-Mistassini (CA), Que.",2020,63600,
331,"Dolbeau-Mistassini (CA), Que.",2015,58000,
334,"Dolbeau-Mistassini (CA), Que.",2020,63600,
335,"Dolbeau-Mistassini (CA), Que.",2015,58000,
338,"Drummondville (CMA), Que.",2020,64000,
339,"Drummondville (CMA), Que.",2015,56800,
342,"Drummondville (CMA), Que.",2020,64000,
343,"Drummondville (CMA), Que.",2015,56800,
346,"Drummondville (CMA), Que.",2020,64000,
347,"Drummondville (CMA), Que.",2015,56800,
350,"Granby (CA), Que.",2020,68500,
351,"Granby (CA), Que.",2015,60800,
354,"Granby (CA), Que.",2020,68500,
355,"Granby (CA), Que.",2015,60800,
358,"Granby (CA), Que.",2020,68500,
359,"Granby (CA), Que.",2015,60800,
362,"Joliette (CA), Que.",2020,61600,
363,"Joliette (CA), Que.",2015,55200,
366,"Joliette (CA), Que.",2020,61600,
367,"Joliette (CA), Que.",2015,55200,
370,"Joliette (CA), Que.",2020,61600,
371,"Joliette (CA), Que.",2015,55200,
374,"Lachute (CA), Que.",2020,56400,
